model,brand
XF S,Jaguar
XF XFR-S,Jaguar
XJ Base,Jaguar
XJ Vanden Plas,Jaguar
XJ8 Base,Jaguar
XJ8 L,Jaguar
XK Base,Jaguar
XK R,Jaguar
XK8 Base,Jaguar
XKR Base,Jaguar
XLR Base,Cadillac
XLR V,Cadillac
XT4 Sport,Cadillac
XT5 Base,Cadillac
XT5 Luxury,Cadillac
XT5 Premium Luxury,Cadillac
XT6 Premium Luxury AWD,Cadillac
XT6 Sport AWD,Cadillac
XTS Luxury,Cadillac
XTS Premium,Cadillac
Xterra Pro-4X,Nissan
Xterra S,Nissan
Yaris Base,Toyota
Yaris L,Toyota
Yukon Denali,GMC
Yukon Denali Ultimate,GMC
Yukon SLE,GMC
Yukon SLT,GMC
Yukon XL 1500 SLT,GMC
Yukon XL AT4,GMC
Yukon XL Denali,GMC
Yukon XL SLT,GMC
Z Proto Spec,Nissan
Z3 3.0i Roadster,BMW
Z4 2.5i,BMW
Z4 2.5i Roadster,BMW
Z4 3.0i Roadster,BMW
Z4 3.0si,BMW
Z4 sDrive28i,BMW
Z4 sDrive35is,BMW
ZDX Base,Acura
allroad 2.0T Prestige,Audi
allroad 2.7T,Audi
e-Golf SE,Volkswagen
e-tron Prestige,Audi
i3 120Ah w/Range Extender,BMW
i3 94 Ah,BMW
i3 Base,BMW
i3 Base w/Range Extender,BMW
i8 Base,BMW
tC Anniversary Edition,Scion
tC Base,Scion
tC Release Series 6.0,Scion
xB Base,Scion
